"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,25-34,"The Memory Gold Laser  13-31 Aug",0.04,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,unknown,65+,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.0399991,1,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,unknown,55-64,"Happy Mother Day -  1-12 Aug",0.03000065,2,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,18-24,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.03,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,male,18-24,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.03,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,25-34,"Branding - เปลี่ยนโอากาสพิเศษ",0.03,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,35-44,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.03,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,35-44,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.03,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,65+,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.03,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,35-44,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,65+,"Trust - ช่องทางชำระเงิน",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,25-34,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,45-54,"Service - ทองแท้ 96.5",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,45-54,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"The Memory Custom Card   13-31 Aug",0.02,1,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,55-64,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,65+,"Trust - ช่องทางชำระเงิน",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,65+,"Service - ทองแท้ 96.5",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,18-24,"พระประจำวันเกิด 1-31 Aug 26",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,35-44,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,unknown,35-44,"Branding - เปลี่ยนโอากาสพิเศษ",0.02,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,unknown,35-44,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.02,2,2,,,,,,2026-08-11,2026-08-17
